bCMS01,_1MnuumndEeWZOoTCcU_ksg,BCMSSystem,n_bCMSSystem_1;govermentAgency_1
bCMS01,_1MnsjGndEeWZOoTCcU_ksg,CommunicationCompromiser,n_communicationCompromiser_1
bCMS01,_1MnHW2ndEeWZOoTCcU_ksg,CommunicationInfrastructure,n_communicationInfrastructure_1;communicationCompromisers_1
bCMS01,_nakFgJc8EeWvcez0hKdksQ,Credential,n_credential_1;format_1;user_1;password_1
bCMS01,_1MnGWmndEeWZOoTCcU_ksg,Crisis,n_crisis_1;id_1;location_1;startTime_1;endTime_1;status_1;description_1;policeCars_1;fireTrucks_1
bCMS01,_1MnGUmndEeWZOoTCcU_ksg,Fireman,n_fireman_1
bCMS01,_1MnGDmndEeWZOoTCcU_ksg,FireTruck,n_fireTruck_1;routeFireTruck_1
bCMS01,_1MntwGndEeWZOoTCcU_ksg,FScoordinator,n_fScoordinator_1;fireTrucks_1
bCMS01,_1MntjWndEeWZOoTCcU_ksg,FSCSystem,n_fSCSystem_1;routePlan_1;call_1;biometricBasedPSC__1
bCMS01,_1MnIzWndEeWZOoTCcU_ksg,GovermentAgency,n_govermentAgency_1
bCMS01,_1MnsiWndEeWZOoTCcU_ksg,GPS,n_gPS_1;x_1;y_1
bCMS01,_1MnGR2ndEeWZOoTCcU_ksg,PoliceCar,n_policeCar_1;routePoliceCar_1
bCMS01,_1MnFv2ndEeWZOoTCcU_ksg,PoliceOfficer,n_policeOfficer_1
bCMS01,_1MnGbmndEeWZOoTCcU_ksg,PScoordinator,n_pScoordinator_1;policeCars_1
bCMS01,_1MnFjGndEeWZOoTCcU_ksg,PSCSystem,n_pSCSystem_1;routePlans_1;noMoreRoutesLeftToBeProposed_1;noMoreRoutesLeftToBeProposed_2;call_1;biometricBasedFSC__1
bCMS01,_1MnvrGndEeWZOoTCcU_ksg,Route,n_route_1;ETA_1;path_1
bCMS01,_1MnFh2ndEeWZOoTCcU_ksg,RouteFireTruck,n_routeFireTruck_1;fireTruck_1
bCMS01,_1MnFzmndEeWZOoTCcU_ksg,RoutePlan,n_routePlan_1;information_1;routePoliceCars_1;routeFireTrucks_1
bCMS01,_1MnFyWndEeWZOoTCcU_ksg,RoutePoliceCar,n_routePoliceCar_1;policeCar_1
bCMS01,_1Mnu12ndEeWZOoTCcU_ksg,TimeoutLog,n_timeoutLog_1;submissionTime_1;ocurrenceTime_1;reason_1
